itemid,serialnumber,itemname,macaddress,modelid,modelname,hasbatteries,subjectspecific,vendorid,vendorname,typeid,typename,subtypeid,subtypename,batterymonths,lastbatterychange,active,activename,homeid,subjectid,start,automatic_token,automatic_refresh,automatic_username,automatic_password,projectid,projectname,ownershiptypeid,ownershiptypename,statusid,statusname
"7776","zbd0026-r308","zbd0026-r308","000D6F000322777A","121","R308","0","0","53","Telegesis","41","USB Dongle","40","Zigbee","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"7808","zbd0058-r308","zbd0058-r308","000D6F0003227856","121","R308","0","0","53","Telegesis","41","USB Dongle","40","Zigbee","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"7840","zbd0090-r308","zbd0090-r308","000D6F0003227A57","121","R308","0","0","53","Telegesis","41","USB Dongle","40","Zigbee","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"7841","zbd0091-r308","zbd0091-r308","000D6F00032277D6","121","R308","0","0","53","Telegesis","41","USB Dongle","40","Zigbee","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"7851","zbd0101-r308","zbd0101-r308","000D6F00032274CF","121","R308","0","0","53","Telegesis","41","USB Dongle","40","Zigbee","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"7852","zbd0102-r308","zbd0102-r308","000D6F0003227D50","121","R308","0","0","53","Telegesis","41","USB Dongle","40","Zigbee","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"7854","zbd0104-r308","zbd0104-r308","000D6F0003227D70","121","R308","0","0","53","Telegesis","41","USB Dongle","40","Zigbee","12","","1","Active","","","","","","","","","","4","Borrowed","1","Borrowed"
"7856","zbd0106-r308","zbd0106-r308","000D6F000322774D","121","R308","0","0","53","Telegesis","41","USB Dongle","40","Zigbee","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"7857","zbd0107-r308","zbd0107-r308","000D6F000322787D","121","R308","0","0","53","Telegesis","41","USB Dongle","40","Zigbee","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"7858","zbd0108-r308","zbd0108-r308","000D6F0003227750","121","R308","0","0","53","Telegesis","41","USB Dongle","40","Zigbee","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"7885","zbd0135-r308","zbd0135-r308","000D6F00032275AA","121","R308","0","0","53","Telegesis","41","USB Dongle","40","Zigbee","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"7896","zbd0007-r310","zbd0007-r310","0021ED00000901A6","122","R310(CICIE)","0","0","53","Telegesis","41","USB Dongle","40","Zigbee","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"7915","zbd0026-r310","zbd0026-r310","0021ED00000901AC","122","R310(CICIE)","0","0","53","Telegesis","41","USB Dongle","40","Zigbee","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"7921","zbd0032-r310","zbd0032-r310","0021ED00000901DE","122","R310(CICIE)","0","0","53","Telegesis","41","USB Dongle","40","Zigbee","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"8587","ZBC0347","nyce-c-0347","000D6F000195985A","127","NCZ-3011","1","0","52","NYCE Controls","10","Activity Sensors","44","Zigbee / Contact","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"10108","ZBW1045","nyce-w-1045","000D6F0004B0E5ED","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"10126","ZBW1063","nyce-w-1063","000D6F0004B10E3A","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"10161","ZBW1098","nyce-w-1098","000D6F0004B0E838","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"10303","zbd0150-r310","zbd0150-r310","0021ED000009050F","122","R310(CICIE)","0","0","53","Telegesis","41","USB Dongle","40","Zigbee","12","","1","Active","","","","","","","","22","Rush","1","Received","1","Received"
"11130","ZBW1406","nyce-w-1406","000D6F000A8D74E5","120","NCZ-3041","1","0","52","NYCE Controls","10","Activity Sensors","39","Zigbee / Wall","12","","1","Active","","","","","","","","","","4","Borrowed","1","Borrowed"
